Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RTTA.SF11CA,1997.03,27070.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,1998.03,27748.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,1999.03,28216.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2000.03,30204.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2001.03,31641.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2002.03,33853,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2003.03,36284.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2004.03,38184.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2005.03,40995.4,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2006.03,43865.7,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2007.03,47241.6,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2008.03,48820.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2009.03,48817.1,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2010.03,50649.9,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
RTTA.SF11CA,2011.03,51559.2,,F,Dollars,6,Retail Trade (ANZSIC06) - RTT,"Sales and stocks by industry, in current and constant prices (SAFC)",Core industries total,Sales (operating income),Current,Actual,
